target_id_matrix,Gene,qval,Log2FC,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000021765,Fst,8.49E-05,-1.197350168,325.6010161,326.513089,157.6020726,369.6654696,375.871211,102.141245,49.40225958,147.3976677,61.44222359,125.2372791
ENSMUSG00000021356,Irf4,0.000378901,-1.199089229,176.7302504,197.5683502,72.6148404,144.132206,161.8995256,74.36359107,18.61086641,41.92635179,42.83055239,56.57397407
ENSMUSG00000063446,Plppr1,0.000555923,-1.205710746,106.9905025,68.7419145,28.85762693,97.31213654,79.85249994,14.65654408,13.61529376,20.33666387,22.32862574,40.15243517
ENSMUSG00000063011,Msln,0.000162276,-1.205853242,57.51889155,61.13271361,36.30298318,63.23950038,59.63097135,20.25714644,6.064881153,30.5214413,16.53223823,16.36418499
ENSMUSG00000063919,Srrm4,0.023183682,-1.207240082,90.18355835,130.640912,21.89232007,84.19511292,114.6887093,43.11277802,8.817559323,26.25856322,14.24888025,38.22646202
ENSMUSG00000035165,Kcne3,0.009810591,-1.210070262,25.46665976,43.12086262,27.18895339,21.16332769,56.6051787,16.90770333,4.926470631,24.4512053,3.512778391,9.169137033
ENSMUSG00000042638,Gucy2c,0.025224997,-1.210861642,33.61224014,106.2394482,312.1797535,31.10953894,105.8299168,18.59693341,19.85049208,33.69942664,23.26175916,27.94591969
ENSMUSG00000029403,Cdkl2,8.05E-05,-1.211369494,18.53394501,27.83033553,30.86983931,14.91918622,30.87281171,5.34083734,6.293163511,12.87148775,4.602344647,6.578733865
ENSMUSG00000021364,Elovl2,3.35E-10,-1.213212438,5378.03183,6450.255877,2674.620556,5091.439926,5815.707359,1364.868852,1157.06601,1577.771213,1463.931664,1745.470982
ENSMUSG00000109916,Gm45551,7.94E-05,-1.216692549,298.663512,468.2797169,145.5572215,300.3257526,530.9637733,126.1191008,55.98515404,108.8244089,88.81326635,106.432124
ENSMUSG00000028150,Rorc,5.03E-05,-1.219809128,254.8782842,257.2376993,113.6448417,242.134929,247.0884993,78.93561425,30.92620246,106.9809006,53.76089271,69.09767495
ENSMUSG00000033831,Fgb,2.88E-06,-1.22012938,110775.058,129477.7291,93053.62005,115843.8236,137509.4811,42104.21562,17461.70665,46449.61545,24829.61339,56196.43611
ENSMUSG00000024131,Slc3a1,0.001278415,-1.220953618,480.1101554,865.9028934,709.4929929,440.9311298,799.2006448,260.9294705,70.19539875,282.789315,131.5792467,336.3834992
