Gene,GF1,GF2,GF3,GF4,GF5,BIF1,BIF2,BIF3,BIF4,BIF5
ENSMUSG00000026655,163.1895309,145.8139701,98.95421509,150.3456563,156.7203772,127.9336535,101.2679736,122.7879275,127.6184656,139.7775397
ENSMUSG00000026656,314.21837,277.4742846,117.5214377,259.6519797,252.9960352,104.3925366,56.96621521,119.5880986,90.98899431,118.9538626
ENSMUSG00000026657,224.8298579,265.7261321,272.9365224,186.8012177,203.4474748,421.4253075,499.3767726,405.3412344,412.3292686,385.5108694
ENSMUSG00000026659,142.7746787,77.95060416,158.8544203,119.1146549,95.17439095,128.6394406,113.0002291,127.7256605,148.7674998,126.6274928
ENSMUSG00000026662,261.7602922,375.2528515,261.0884391,243.6019924,264.9146369,271.3997976,304.5395147,245.3212102,297.685972,275.8212268
ENSMUSG00000026663,510.8251722,832.0811318,446.3631108,429.2162469,737.503638,458.0134335,394.0541241,388.1972421,345.8564273,408.4932778
ENSMUSG00000026664,1187.706149,1252.364546,1042.252037,1320.191821,1421.411961,819.5254235,509.6078169,1000.412033,772.3649951,975.7435157
ENSMUSG00000026667,813.1311456,1008.15571,1045.063613,696.6685155,840.3098406,1147.901687,1445.375313,956.4827757,1224.113967,1141.287478
ENSMUSG00000026668,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026669,129.3937959,135.7171049,159.0043591,131.9645897,147.1977046,185.1079448,230.1997861,188.96782,239.1216411,188.9184247
ENSMUSG00000026670,135.2709645,155.173318,126.7988673,131.3035721,152.0267649,119.8829111,149.3326157,131.6718121,123.3642399,133.0004314
ENSMUSG00000026672,610.0397698,649.9345006,498.9056616,528.0553765,555.3091305,417.7484458,360.8944818,370.4435532,377.0198784,417.953191
ENSMUSG00000026674,8.527555852,29.10182506,22.39520587,5.740201209,9.900257865,10.4055829,7.494900675,11.09232102,15.82948197,5.487863048
ENSMUSG00000026675,114.6416376,120.3277808,121.509002,118.870513,100.8944406,43.88733677,44.34737931,64.70117073,34.40248447,166.8820462
ENSMUSG00000026676,142.7711769,108.7909025,162.6940095,130.8106642,109.5210319,148.7918033,133.2431187,132.0478494,125.304726,124.0447539
ENSMUSG00000026678,31.84592695,18.15905716,46.05507336,38.09754189,11.28145872,9.34566534,1.67097008,23.91841931,6.699135711,2.369841219
ENSMUSG00000026679,1.697321589,1.220123833,0,1.492701211,2.420505515,0,0.504390577,1.397055522,1.104164045,0
ENSMUSG00000026683,406.7602604,490.0574397,507.0604552,401.8019964,526.6180804,796.653515,818.6084435,762.5344495,714.0095117,638.8450589
ENSMUSG00000026686,0,0,0,0,0,0,0,0.913877904,2.194209287,0
ENSMUSG00000026687,233.5326518,184.3497785,312.2797082,218.1685784,168.2147329,231.0740814,239.1976379,258.152984,249.3982181,273.1324671
ENSMUSG00000026688,574.3794273,676.3956113,1271.219295,718.981242,793.4449227,1554.584491,2043.714305,1655.951409,1634.31634,1281.240781
ENSMUSG00000026691,0.865137211,3.236064201,0.724822445,1.507187832,0,0,0,0,0,0
ENSMUSG00000026692,37.92921374,36.68942659,96.01496109,23.57409547,34.10370996,49.5340356,19.45813193,44.32605363,54.60859247,57.80893552
ENSMUSG00000026694,99.34307815,107.7909551,113.6313101,72.02649532,84.14716637,112.3994135,103.8929356,88.06569725,101.0019818,118.4232551
ENSMUSG00000026696,134.7214217,97.24439117,105.2035779,123.1394771,107.1584086,119.0669079,90.32175871,132.9907655,94.53799685,115.262451
ENSMUSG00000026697,0,0,0.919175195,0,0,1.932361082,0,0.892215199,0,0.832515127
ENSMUSG00000026698,183.452316,132.9013466,226.1281481,265.6930738,174.2583311,138.1210068,111.1598589,125.6493389,141.2984898,116.7597597
ENSMUSG00000026700,1.098239823,0,0.919175195,1.909644733,2.330234721,0.966180541,0,0,0,0
ENSMUSG00000026701,1883.369277,1458.277639,1911.206145,2048.970074,1684.859872,1596.816334,1388.321406,1887.233501,1567.251741,1713.985197
ENSMUSG00000026705,119.9704248,125.7601237,150.8626211,143.5723247,135.2410654,170.8238596,180.5620157,157.332311,205.4565805,119.7763312
ENSMUSG00000026707,75.60929984,30.0735243,74.02043593,46.09169839,90.9393576,40.23616695,31.91644466,27.23170434,37.61523541,72.68509052
ENSMUSG00000026708,209.9126688,298.6115373,271.295765,218.3611742,292.4398779,445.9443049,471.784648,410.7909339,407.8186693,286.798426
ENSMUSG00000026709,227.6864522,221.4895317,316.2208776,316.3608848,278.3392699,237.7257408,300.7597274,245.0417568,304.2668643,273.3549849
ENSMUSG00000026712,812.264996,696.4827228,657.4560395,730.0558905,619.4233942,815.2898586,523.9744664,757.2404328,678.2265443,667.9131335
ENSMUSG00000026715,13457.73276,12840.31231,10335.48481,14028.08479,14207.38081,8329.764091,4562.801072,9342.833771,6740.096244,10223.309
ENSMUSG00000026718,68.56295186,94.61195581,64.22428573,64.46674656,62.95016189,96.67310677,105.4205691,95.62082111,82.24990014,85.89939423
ENSMUSG00000026721,149.9081299,113.8192821,109.5687568,125.5454076,119.4593688,150.4649885,166.9096935,128.9536022,124.8283292,112.5638349
ENSMUSG00000026723,10.12611093,22.70460502,13.78762793,13.67678053,21.84736118,16.08555866,22.5788145,14.27544318,29.08254705,20.81287818
ENSMUSG00000026725,1.83948059,2.934322457,13.08945328,1.599993989,0,0,0,3.318750518,0,2.065286008
ENSMUSG00000026726,2.998601068,1.076402027,133.9528481,3.045871207,0,2.639015658,6.241410674,4.473171386,5.361304296,6.065904201
ENSMUSG00000026727,520.7979103,306.2826841,359.9555175,522.7469464,354.484397,347.2260631,362.9120572,408.206615,370.8557237,349.982421
ENSMUSG00000026728,2161.480168,2074.043564,1623.194431,2199.352387,2622.528515,1579.121873,1258.089827,1864.215133,1757.748036,1489.487716
ENSMUSG00000026730,549.4363135,227.9664803,641.0664416,592.562962,264.0377272,615.3911598,432.2940538,619.6916364,510.9897959,748.1349488
ENSMUSG00000026734,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000026735,0,0,2.757525585,0,0,0,0,8.029936787,6.425883383,0
ENSMUSG00000026737,70.26861147,104.6818753,86.84017293,70.46508765,81.69109088,130.4462263,157.9698934,111.0155691,119.7111089,102.5177766
ENSMUSG00000026739,16.34170373,26.01521582,26.07878034,19.57806933,30.40709987,27.17709618,27.18665728,26.73677896,25.94836378,22.05839801
ENSMUSG00000026740,129.7721827,108.5046956,106.3997098,117.6948132,93.35695505,93.59473234,78.68867772,89.93998667,92.99096742,115.2128909
ENSMUSG00000026743,92.01328055,66.64671477,81.96297786,75.55907358,68.13632869,73.4069275,108.8320915,72.95849188,78.53037652,87.26716164
ENSMUSG00000026748,19.63695529,9.893324744,21.30373233,10.2766746,12.45321751,32.77730703,15.76909643,19.20596328,28.28920373,17.8140972
